BSG_CS;pEFLA;vr2_1a6_CS;vr2_1a6_BUS;vr2_1a6_OPT;vr2_1a6_FAR;vr2_7a10_BUS_OPT_FAR;Pop_CS;Pop_BUS;Pop_OPT;Pop_FAR;vr3_3_OPT;vr3_3_FAR;vr3_4_OPT;vr3_4_FAR;vr3_5_OPT;vr3_5_FAR;vr3_8a9_OPT;vr3_8a9_FAR
55.6;0.3;0.0010;0.2;0.5;0.7;0.5;0.0;10.1;9.7;9.4;1.0;2.5;7.5;15.0;0.3;0.5;0.5;1.0
0.4;0.4;0.0003;0.4;0.4;0.4;0.4;0.0;0.1;0.1;0.1;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
